oid,timestamp,x,y,body_roll,body_pitch,body_yaw,head_roll,head_pitch,head_yaw,other_oid,other_class,other_x,other_y
50187,1845.4,495858.642923446,5405751.2674816,2.98755,0.0,173.15,0.0,-4.8,172.8,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]","[495902.652965805, 495899.550989582, 495858.642923446, 495902.874724909]","[5405738.69755723, 5405746.41718851, 5405751.2674816, 5405739.42357184]"
50187,1845.5,495858.750243992,5405751.26570064,0.0,0.0,161.328,0.0,0.0,179.253,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]","[495858.750243992, 495902.980374708, 495902.757846107, 495898.760927534]","[5405751.26570064, 5405739.41035747, 5405738.73244419, 5405746.43782994]"
50187,1845.6,495858.859323978,5405751.23143027,0.0,0.0,172.8,2.2,0.0,172.09,"[47646, 50187, 50184, 50181]","[0, 4, 4, 4]","[495897.98784142, 495858.859323978, 495903.082404733, 495902.87531898]","[5405746.45470594, 5405751.23143027, 5405739.39747316, 5405738.74375626]"
50187,1845.7,495858.986864227,5405751.23555881,None,None,None,None,None,None,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]","[495903.188738583, 495858.986864227, 495897.189226103, 495902.9956125]","[5405739.38729713, 5405751.23555881, 5405746.47523686, 5405738.74845196]"
50187,1845.8,495859.114404475,5405751.23968735,None,None,None,None,None,None,"[50184, 47646, 50181, 50187]","[4, 0, 4, 4]","[495903.309982874, 495896.406252488, 495903.120294107, 495859.114404475]","[5405739.38190251, 5405746.48529882, 5405738.74181043, 5405751.23968735]"
50187,1845.9,495859.24938607,5405751.24613306,2.6,-7.0,176.0,1.4,0.0,166.8,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]","[495903.249120974, 495895.636507687, 495859.24938607, 495903.440150369]","[5405738.7260235, 5405746.49804616, 5405751.24613306, 5405739.37857269]"
50187,1846.0,495859.397241795,5405751.2485902,2.0,-6.0,173.6,0.4,0.0,172.8,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]","[495859.397241795, 495903.560633912, 495903.381928599, 495894.85772336]","[5405751.2485902, 5405739.380958, 5405738.70868707, 5405746.5166644]"
50187,1846.1,495859.505024344,5405751.21151481,None,None,None,None,None,None,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]","[495903.658247691, 495859.505024344, 495894.118603739, 495903.518947473]","[5405739.38188788, 5405751.21151481, 5405746.52077535, 5405738.68939956]"
50187,1846.2,495859.613633213,5405751.16498181,4.4,-5.2,180.212,-0.693776,-6.6,177.012,"[50184, 47646, 50181, 50187]","[4, 0, 4, 4]","[495903.746173161, 495893.335777585, 495903.650966296, 495859.613633213]","[5405739.37818143, 5405746.53008081, 5405738.67188593, 5405751.16498181]"
50187,1846.3,495859.721807782,5405751.09147647,4.0,0.0,170.465,1.49378,-0.8,172.073,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]","[495903.853971631, 495859.721807782, 495892.518125062, 495903.779545135]","[5405739.36783577, 5405751.09147647, 5405746.54371139, 5405738.65594845]"
50187,1846.4,495859.820981429,5405751.05381373,3.6,0.0,174.8,1.9917,-3.8,173.477,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]","[495859.820981429, 495903.989852209, 495903.908123975, 495891.752067116]","[5405751.05381373, 5405739.35617406, 5405738.64001097, 5405746.55229399]"
50187,1846.5,495859.931614036,5405751.06058671,4.2,0.0,180.4,0.0,0.0,170.4,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]","[495859.931614036, 495904.130105517, 495904.04024078, 495890.946539342]","[5405751.06058671, 5405739.34385959, 5405738.62682901, 5405746.55288594]"
50187,1846.6,495860.049850918,5405751.07494443,5.0,0.0,169.2,2.48963,0.0,174.285,"[50187, 50190, 50181, 50184, 47646]","[4, 3, 4, 4, 0]","[495860.049850918, 495796.237413985, 495904.180132262, 495904.265079266, 495890.199159599]","[5405751.07494443, 5405754.55557834, 5405738.61851765, 5405739.32840582, 5405746.55691273]"
50187,1846.7,495860.194864697,5405751.15806859,None,None,None,None,None,None,"[50187, 50190, 47646, 50184, 50181]","[4, 3, 0, 4, 4]","[495860.194864697, 495796.307863855, 495889.435244732, 495904.401281999, 495904.320875527]","[5405751.15806859, 5405754.56895214, 5405746.56511299, 5405739.31414844, 5405738.61094949]"
50187,1846.8,495860.346315994,5405751.25054227,6.2,0.0,173.2,5.0,0.0,165.6,"[50187, 50184, 50181, 50190, 47646]","[4, 4, 4, 3, 0]","[495860.346315994, 495904.541495651, 495904.464765139, 495796.341204021, 495888.66817098]","[5405751.25054227, 5405739.31153418, 5405738.38446208, 5405754.67762682, 5405746.56872574]"
50187,1846.9,495860.518021464,5405751.37126107,5.4,0.0,172.8,4.6,0.0,168.8,"[47646, 50190, 50181, 50184, 50187]","[0, 3, 4, 4, 4]","[495887.905833311, 495796.266393561, 495904.595574968, 495904.687536225, 495860.518021464]","[5405746.57735378, 5405755.02089932, 5405738.41902991, 5405739.30667819, 5405751.37126107]"
50187,1847.0,495860.66224335,5405751.42993372,5.4,0.0,173.2,6.4,0.0,163.6,"[50184, 50187, 50181, 50190, 47646]","[4, 4, 4, 3, 0]","[495904.829420857, 495860.66224335, 495904.724408566, 495796.265998398, 495887.148391198]","[5405739.3005754, 5405751.42993372, 5405738.4512997, 5405755.0233209, 5405746.58902706]"
50187,1847.1,495860.785693215,5405751.3987906,6.2,-2.2,158.8,7.4,0.0,158.4,"[47646, 50190, 50181, 50184, 50187]","[0, 3, 4, 4, 4]","[495886.375895122, 495796.265603234, 495904.863296038, 495904.966165487, 495860.785693215]","[5405746.59307254, 5405755.02574248, 5405738.28557043, 5405739.29887901, 5405751.3987906]"
50187,1847.2,495860.903492838,5405751.41046787,0.0,0.0,153.086,6.4,0.0,160.385,"[50181, 50190, 47646, 50187, 50184]","[4, 3, 0, 4, 4]","[495905.012757711, 495796.265208071, 495885.63785114, 495860.903492838, 495905.093419831]","[5405738.05019778, 5405755.02816405, 5405746.60276204, 5405751.41046787, 5405739.29582186]"
50187,1847.3,495860.992344948,5405751.37081143,None,None,None,None,None,None,"[50187, 50184, 50181, 50191, 50190, 47646]","[4, 4, 4, 7, 3, 0]","[495860.992344948, 495905.226102173, 495905.153554123, 495846.427937701, 495796.264812907, 495884.874712602]","[5405751.37081143, 5405739.28647496, 5405737.87045698, 5405744.32442374, 5405755.03058563, 5405746.61293236]"
50187,1847.4,495861.081197058,5405751.33115499,None,None,None,None,None,None,"[47646, 50190, 50191, 50181, 50184, 50187]","[0, 3, 7, 4, 4, 4]","[495884.121962564, 495796.267734036, 495846.52623556, 495905.283071206, 495905.363786399, 495861.081197058]","[5405746.61775247, 5405755.02079787, 5405744.33901674, 5405737.74814393, 5405739.27466828, 5405751.33115499]"
50187,1847.5,495861.170049169,5405751.29149855,None,None,None,None,None,None,"[50191, 50181, 50187, 50184, 47646, 50190]","[7, 4, 4, 4, 0, 3]","[495846.63954954, 495905.409037774, 495861.170049169, 495905.507358969, 495883.398911699, 495796.283487291]","[5405744.410893, 5405737.66227763, 5405751.29149855, 5405739.25090632, 5405746.62757551, 5405754.96376703]"
50187,1847.6,495861.258901279,5405751.25184212,None,None,None,None,None,None,"[50191, 50190, 47646, 50187]","[7, 3, 0, 4]","[495846.701702793, 495796.299240546, 495882.627773835, 495861.258901279]","[5405744.50975868, 5405754.90673618, 5405746.64035038, 5405751.25184212]"
50187,1847.7,495861.347753389,5405751.21218568,None,None,None,None,None,None,"[47646, 50191, 50187, 50190]","[0, 7, 4, 3]","[495881.895828454, 495846.845327483, 495861.347753389, 495796.314993801]","[5405746.65035987, 5405744.6118897, 5405751.21218568, 5405754.84970534]"
50187,1847.8,495861.430033109,5405751.1626543,0.0,0.0,155.556,12.4,-5.4,161.417,"[47646, 50190, 50191, 50187]","[0, 3, 7, 4]","[495881.187577189, 495796.331590612, 495846.977646627, 495861.430033109]","[5405746.66574616, 5405754.79832148, 5405744.7119833, 5405751.1626543]"
50187,1847.9,495861.491284089,5405751.06620874,None,None,None,None,None,None,"[50187, 50190, 50191, 47646]","[4, 3, 7, 0]","[495861.491284089, 495796.351903005, 495847.233075396, 495880.43963881]","[5405751.06620874, 5405754.77181071, 5405744.87364614, 5405746.68357951]"
50187,1848.0,495861.636183798,5405751.00863246,None,None,None,None,None,None,"[50191, 50187, 47646, 50190]","[7, 4, 0, 3]","[495847.488504165, 495861.636183798, 495879.71206372, 495796.374802985]","[5405745.03530899, 5405751.00863246, 5405746.6966564, 5405754.7873561]"
50187,1848.1,495861.827147427,5405751.02246812,0.0,0.0,136.4,15.4,-5.0,162.0,"[50187, 47646, 50191]","[4, 0, 7]","[495861.827147427, 495879.009933995, 495847.743932934]","[5405751.02246812, 5405746.70976221, 5405745.19697183]"
50187,1848.2,495861.945737247,5405751.03630077,6.96721,0.298361,148.026,3.6,1.2,143.043,"[50187, 47646, 50191]","[4, 0, 7]","[495861.945737247, 495878.327785934, 495847.999361703]","[5405751.03630077, 5405746.7206512, 5405745.35863468]"
50187,1848.3,495862.114576819,5405751.06404396,0.189468,0.304409,150.662,13.8272,-7.05185,160.444,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]","[495862.114576819, 495877.61088424, 495848.266559831, 495796.007523913]","[5405751.06404396, 5405746.74352498, 5405745.52993905, 5405767.7206599]"
50187,1848.4,495862.264326183,5405751.20086009,None,None,None,None,None,None,"[50191, 50187, 47646, 50194]","[7, 4, 0, 3]","[495848.573890937, 495862.264326183, 495876.900508377, 495796.037983989]","[5405745.73152359, 5405751.20086009, 5405746.76415548, 5405767.77333471]"
50187,1848.5,495862.376054618,5405751.33222631,0.0,-4.83279,145.934,3.0,3.2,149.161,"[50191, 47646, 50187, 50194]","[7, 0, 4, 3]","[495848.835011218, 495876.216223658, 495862.376054618, 495796.074335912]","[5405745.88300392, 5405746.77926673, 5405751.33222631, 5405767.83972838]"
50187,1848.6,495862.502564754,5405751.42553304,3.8,-4.14098,150.603,4.27541,-3.0,149.128,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]","[495862.502564754, 495875.556386588, 495849.080163261, 495796.136820504]","[5405751.42553304, 5405746.80916624, 5405746.01236164, 5405767.96367584]"
50187,1848.7,495862.635348749,5405751.49626352,0.0,-9.0,147.6,4.44444,0.0,158.578,"[50191, 50187, 50194, 47646]","[7, 4, 3, 0]","[495849.326027733, 495862.635348749, 495796.159797332, 495874.880995377]","[5405746.11433621, 5405751.49626352, 5405767.97647407, 5405746.83433698]"
50187,1848.8,495862.742944313,5405751.50762966,None,None,None,None,None,None,"[47646, 50187, 50194, 50191]","[0, 4, 3, 7]","[495874.19714938, 495862.742944313, 495796.183252169, 495849.576103777]","[5405746.86002206, 5405751.50762966, 5405767.99810997, 5405746.19659293]"
50187,1848.9,495862.851569348,5405751.51892955,0.0,0.0,139.2,4.0,0.0,155.6,"[50191, 50187, 50194, 47646]","[7, 4, 3, 0]","[495849.819017237, 495862.851569348, 495796.208785086, 495873.510778379]","[5405746.28924734, 5405751.51892955, 5405768.07289861, 5405746.88946807]"
50187,1849.0,495862.967722739,5405751.52939942,0.0,-9.8,121.2,3.45679,0.0,157.6,"[50187, 50194, 50191, 47646]","[4, 3, 7, 0]","[495862.967722739, 495796.232142592, 495850.093572675, 495872.843463647]","[5405751.52939942, 5405768.13130827, 5405746.32136477, 5405746.91512633]"
50187,1849.1,495863.059091672,5405751.54043071,0.0,0.0,144.4,1.64938,4.12099,162.844,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]","[495863.059091672, 495872.21591452, 495850.342560086, 495796.274663082]","[5405751.54043071, 5405746.94480398, 5405746.32145434, 5405768.14557278]"
50187,1849.2,495863.109524891,5405751.58324831,None,None,None,None,None,None,"[50194, 50187, 47646, 50191]","[3, 4, 0, 7]","[495796.299756202, 495863.109524891, 495871.558090579, 495850.65004595]","[5405768.16902038, 5405751.58324831, 5405746.98424303, 5405746.3245758]"
50187,1849.3,495863.159958109,5405751.62606591,None,None,None,None,None,None,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]","[495863.159958109, 495870.919074024, 495850.960088193, 495796.309718304]","[5405751.62606591, 5405747.0321939, 5405746.33542175, 5405768.15174879]"
50187,1849.4,495863.214848,5405751.67377715,2.8,-17.8,136.8,18.7877,-3.0,152.8,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495870.277962449, 495851.259046343, 495796.327040359, 495863.214848]","[5405747.07210564, 5405746.35037332, 5405768.18391695, 5405751.67377715]"
50187,1849.5,495863.354940173,5405751.81504465,None,None,None,None,None,None,"[50194, 50191, 47646, 50187]","[3, 7, 0, 4]","[495796.320559273, 495851.529643513, 495869.679570198, 495863.354940173]","[5405768.16138126, 5405746.33774114, 5405747.11973964, 5405751.81504465]"
50187,1849.6,495863.495032347,5405751.95631216,None,None,None,None,None,None,"[50187, 47646, 50191, 50194, 50195]","[4, 0, 7, 3, 3]","[495863.495032347, 495869.107212229, 495851.854963652, 495796.345999575, 495796.245725204]","[5405751.95631216, 5405747.16907466, 5405746.31163826, 5405768.13892705, 5405754.49200037]"
50187,1849.7,495863.635087488,5405752.09749414,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495868.489879468, 495852.178638388, 495796.351214856, 495863.635087488]","[5405747.22002924, 5405746.26770325, 5405768.13802626, 5405752.09749414]"
50187,1849.8,495863.765234198,5405752.21579454,None,None,None,None,None,None,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]","[495863.765234198, 495867.869953927, 495852.494370291, 495796.347514323]","[5405752.21579454, 5405747.27698393, 5405746.20243456, 5405768.16159326]"
50187,1849.9,495863.875293414,5405752.2835555,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495867.25710663, 495852.829938872, 495796.340908492, 495863.875293414]","[5405747.34100033, 5405746.12243548, 5405768.18629759, 5405752.2835555]"
50187,1850.0,495863.985063925,5405752.35059008,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495866.657232709, 495853.190205358, 495796.343503808, 495863.985063925]","[5405747.40491334, 5405746.03686049, 5405768.20787935, 5405752.35059008]"
50187,1850.1,495864.074815142,5405752.38141433,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495866.099603283, 495853.546953284, 495796.345500235, 495864.074815142]","[5405747.4719385, 5405745.93855142, 5405768.18963275, 5405752.38141433]"
50187,1850.2,495864.152923905,5405752.39806591,None,None,None,None,None,None,"[50191, 50187, 50194, 47646]","[7, 4, 3, 0]","[495853.911001762, 495864.152923905, 495796.351106795, 495865.49371807]","[5405745.84552669, 5405752.39806591, 5405768.16395216, 5405747.53673149]"
50187,1850.3,495864.205957,5405752.43312659,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495864.88049844, 495854.275050239, 495796.355926181, 495864.205957]","[5405747.61375398, 5405745.75250197, 5405768.11767535, 5405752.43312659]"
50187,1850.4,495864.241749279,5405752.51621127,None,None,None,None,None,None,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]","[495864.241749279, 495864.287810433, 495854.632506239, 495796.354626769]","[5405752.51621127, 5405747.67785386, 5405745.67190959, 5405768.13339083]"
50187,1850.5,495864.292043008,5405752.6199139,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495863.698863247, 495854.969571222, 495796.365847492, 495864.292043008]","[5405747.75437114, 5405745.64648286, 5405768.13270077, 5405752.6199139]"
50187,1850.6,495864.347462321,5405752.72815971,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495863.153612925, 495855.362442986, 495796.373904999, 495864.347462321]","[5405747.8301399, 5405745.59475833, 5405768.13233437, 5405752.72815971]"
50187,1850.7,495864.398393922,5405752.85010415,None,None,None,None,None,None,"[47646, 50187, 50194, 50191]","[0, 4, 3, 7]","[495862.562752205, 495864.398393922, 495796.365700074, 495855.781746318]","[5405747.90792364, 5405752.85010415, 5405768.11438846, 5405745.53672732]"
50187,1850.8,495864.437063036,5405752.97825193,None,None,None,None,None,None,"[47646, 50191, 50187, 50194]","[0, 7, 4, 3]","[495861.973801299, 495856.315657108, 495864.437063036, 495796.357163641]","[5405747.993756, 5405745.4513514, 5405752.97825193, 5405768.14405922]"
50187,1850.9,495864.488150544,5405753.10693342,None,None,None,None,None,None,"[50194, 50187, 47646, 50191]","[3, 4, 0, 7]","[495796.345446845, 495864.488150544, 495861.389780072, 495856.726168632]","[5405768.16065027, 5405753.10693342, 5405748.08193903, 5405745.38557509]"
50187,1851.0,495864.553225575,5405753.22599935,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]","[495860.842249172, 495857.153511042, 495796.303365868, 495864.553225575]","[5405748.16087128, 5405745.3086037, 5405768.16264143, 5405753.22599935]"
50187,1851.1,495864.630353309,5405753.34710631,None,None,None,None,None,None,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]","[495864.630353309, 495860.284322793, 495857.478248496, 495796.324057583]","[5405753.34710631, 5405748.24483287, 5405745.2547183, 5405768.18942603]"
50187,1851.2,495864.712197189,5405753.47088978,None,None,None,None,None,None,"[50191, 47646, 50194, 50197, 50187]","[7, 0, 3, 1, 4]","[495857.6399553, 495859.711374229, 495796.333228126, 495810.105398958, 495864.712197189]","[5405745.25605329, 5405748.34414115, 5405768.22602051, 5405779.5430778, 5405753.47088978]"
50187,1851.3,495864.798371034,5405753.59379007,None,None,None,None,None,None,"[50194, 47646, 50191, 50197, 50187]","[3, 0, 7, 1, 4]","[495796.350909808, 495859.138524115, 495857.810959387, 495810.33216204, 495864.798371034]","[5405768.23898872, 5405748.43885226, 5405745.24975595, 5405779.6211433, 5405753.59379007]"
50187,1851.4,495864.884607475,5405753.70402719,None,None,None,None,None,None,"[50197, 50194, 47646, 50187, 50191]","[1, 3, 0, 4, 7]","[495810.556923158, 495796.366931264, 495858.567008837, 495864.884607475, 495857.993646338]","[5405779.69849018, 5405768.19859558, 5405748.54107014, 5405753.70402719, 5405745.22887888]"
50187,1851.5,495864.969418347,5405753.79991143,None,None,None,None,None,None,"[50194, 50191, 47646, 50187, 50197]","[3, 7, 0, 4, 1]","[495796.34882183, 495858.211632406, 495858.046324776, 495864.969418347, 495810.706053515]","[5405768.18063174, 5405745.18311395, 5405748.63732897, 5405753.79991143, 5405779.74912268]"
50187,1851.6,495865.068664898,5405753.85626427,None,None,None,None,None,None,"[50197, 50187, 47646, 50191, 50194]","[1, 4, 0, 7, 3]","[495810.790428388, 495865.068664898, 495857.465576548, 495858.466497673, 495796.312734618]","[5405779.79775634, 5405753.85626427, 5405748.74725377, 5405745.1086346, 5405768.16191088]"
50187,1851.7,495865.157505647,5405753.87522582,None,None,None,None,None,None,"[50187, 50197, 50194, 50191, 47646]","[4, 1, 3, 7, 0]","[495865.157505647, 495810.797809682, 495796.309227879, 495858.732516982, 495856.88062548]","[5405753.87522582, 5405779.81473128, 5405768.19237716, 5405745.02761077, 5405748.86133668]"
50187,1851.8,495865.208760494,5405754.00324235,None,None,None,None,None,None,"[50191, 50194, 50197, 50187, 47646]","[7, 3, 1, 4, 0]","[495859.021642797, 495796.34608644, 495810.839041039, 495865.208760494, 495856.293537338]","[5405744.94422369, 5405768.22323705, 5405779.83279182, 5405754.00324235, 5405748.98496063]"
